ID,Category,Customer Query,Chatbot Response,Escalate?,Keywords
FAQ001,Shipment Tracking,How do I track my shipment?,Enter your tracking ID on our chatbot or website. I can track it for you right now — just share your tracking number.,No,"track, tracking, shipment, order"
FAQ002,Shipment Tracking,My tracking ID is not working. What should I do?,"Tracking IDs take up to 24 hours to activate after pickup. If it's been more than 24 hours, please share the ID and I'll investigate.",Maybe,"tracking ID, not working, invalid"
FAQ003,Shipment Tracking,Where is my package right now?,Please share your tracking ID and I'll fetch the current location and status for you.,No,"package, location, where"
FAQ004,Shipment Tracking,What does 'In Transit' status mean?,Your shipment is currently moving between our facilities and is on its way to the destination.,No,"in transit, status, meaning"
FAQ005,Shipment Tracking,What does 'Out for Delivery' mean?,Your package is with our delivery agent and will be delivered to your address today.,No,"out for delivery, today, delivery agent"
FAQ006,Delivery Updates,When will my order be delivered?,Please share your tracking ID and I'll give you the estimated delivery date.,No,"delivery date, when, ETA"
FAQ007,Delivery Updates,My delivery is delayed. Why?,Delays can happen due to weather, high shipment volume, or address issues. Share your tracking ID for a specific update.,Maybe,"delayed, delay, late"
FAQ008,Delivery Updates,The delivery was attempted but I wasn't home. What happens now?,"Our agent will try again the next business day. You can also reschedule delivery or arrange a pickup from our nearest facility.",No,"missed delivery, attempt, rescheduled"
FAQ009,Delivery Updates,Can I change my delivery address after placing an order?,Address changes are possible before the shipment is Out for Delivery. Please contact our support team immediately.,Yes,"change address, delivery address, redirect"
FAQ010,Delivery Updates,Can I choose a specific delivery time slot?,Time slot selection is available for premium customers. Please check your account or contact support to upgrade.,Maybe,"time slot, delivery time, schedule"
FAQ011,Delivery Updates,My package shows Delivered but I haven't received it.,"We're sorry to hear that. Please confirm your address and share your tracking ID. We'll raise an investigation within 24 hours.",Yes,"delivered, not received, missing"
FAQ012,Pricing,What are your delivery charges?,Standard delivery: Rs.50–100. Express delivery: Rs.150–250. Overnight: Rs.300–500. Charges vary by weight and distance.,No,"price, charges, cost, rate"
FAQ013,Pricing,Is there a free delivery option?,Free delivery is available on orders above Rs.999 for partner e-commerce platforms. Please check the specific platform's offer.,No,"free delivery, free shipping"
FAQ014,Pricing,How is the shipping price calculated?,Shipping price is based on package weight (actual or volumetric) and delivery zone. Share package details for an exact quote.,No,"shipping price, calculate, quote"
FAQ015,Pricing,Do you offer bulk shipment discounts?,Yes. Businesses shipping 50+ parcels per month qualify for bulk pricing. Contact our B2B team for a custom quote.,Yes,"bulk, discount, business, volume"
FAQ016,Pricing,Are there extra charges for remote area delivery?,Remote and rural area deliveries may carry an additional surcharge of Rs.50–200. I can confirm for your specific pincode.,No,"remote, rural, surcharge, extra charges"
FAQ017,Service Availability,Do you deliver to my area?,Please share your pincode and I'll check service availability instantly.,No,"service available, deliver, area, pincode"
FAQ018,Service Availability,Which cities do you cover?,We operate in 500+ cities across India including all metros and Tier-2 cities. Share your pincode for exact confirmation.,No,"cities, coverage, serviceable"
FAQ019,Service Availability,Do you offer international shipping?,Yes. We offer international shipping to 30+ countries. Please contact our international desk for rates and documentation.,Yes,"international, overseas, abroad"
FAQ020,Service Availability,Do you handle fragile or special items?,Yes. We offer special packaging and handling for fragile, high-value, and perishable items at an additional cost.,No,"fragile, special, breakable, delicate"
FAQ021,Service Availability,What items are restricted for shipping?,"Restricted items include: flammable liquids, live animals, hazardous chemicals, counterfeit goods, and perishables without special packaging.",No,"restricted, prohibited, not allowed, banned items"
FAQ022,Warehouse,Where is your warehouse located?,Our main warehouse is at [Warehouse Address]. We have regional facilities across major cities. What city are you looking for?,No,"warehouse, location, facility, address"
FAQ023,Warehouse,What are your warehouse operating hours?,Our warehouses operate Monday–Saturday 8:00 AM to 8:00 PM. Some hubs are open 24/7. Please share your location.,No,"warehouse, hours, timing, open"
FAQ024,Warehouse,Can I drop off my package at the warehouse?,Yes. You can drop off packages at any of our facility centers during operating hours. Carry a government-issued ID.,No,"drop off, drop, warehouse, walk-in"
FAQ025,Warehouse,Can I pick up my package from the warehouse?,Yes. Self-pickup is available. Please bring your tracking ID and a valid photo ID to the facility.,No,"self pickup, collect, warehouse pickup"
FAQ026,Warehouse,How do I schedule a pickup from my location?,Share your address and preferred pickup date/time. I'll arrange a doorstep pickup for you.,No,"pickup, schedule, collect from home"
FAQ027,Claims & Issues,My package is damaged. What should I do?,We apologize for that. Please share photos of the damage and your tracking ID. We'll process a claim within 48 hours.,Yes,"damaged, broken, damaged package"
FAQ028,Claims & Issues,My package is lost. How do I file a claim?,Please share your tracking ID and shipment details. We'll initiate a trace and file a claim if the shipment cannot be located.,Yes,"lost, missing, claim"
